# mpedb sqllogictest corpus baseline.
# Regenerate deliberately with --write-baseline; never by hand.
# root /home/morten/sqllogictest/test
# key	total	pass	unsupported	wrong	errmis	skipped	fatal
random/aggregates/slt_good_27.test	13978	10012	0	0	0	3966	0
random/aggregates/slt_good_28.test	14006	10012	0	0	0	3994	0
random/aggregates/slt_good_29.test	14023	10012	0	0	0	4011	0
random/aggregates/slt_good_3.test	13909	10012	0	0	0	3897	0
random/aggregates/slt_good_30.test	14090	10012	0	0	0	4078	0
random/aggregates/slt_good_31.test	14061	10012	0	0	0	4049	0
random/aggregates/slt_good_32.test	14005	10012	0	0	0	3993	0
random/aggregates/slt_good_33.test	14081	10012	0	0	0	4069	0
random/aggregates/slt_good_34.test	13911	10012	0	0	0	3899	0
random/aggregates/slt_good_35.test	14031	10012	0	0	0	4019	0
random/aggregates/slt_good_36.test	13910	10012	0	0	0	3898	0
random/aggregates/slt_good_37.test	13969	10012	0	0	0	3957	0
random/aggregates/slt_good_38.test	14012	10012	0	0	0	4000	0
random/aggregates/slt_good_39.test	13915	10012	0	0	0	3903	0
random/aggregates/slt_good_4.test	13925	10012	0	0	0	3913	0
random/aggregates/slt_good_40.test	14012	10012	0	0	0	4000	0
random/aggregates/slt_good_41.test	13893	10012	0	0	0	3881	0
random/aggregates/slt_good_42.test	13963	10012	0	0	0	3951	0
random/aggregates/slt_good_43.test	13882	10012	0	0	0	3870	0
random/aggregates/slt_good_44.test	13892	10012	0	0	0	3880	0
random/aggregates/slt_good_45.test	13970	10012	0	0	0	3958	0
random/aggregates/slt_good_46.test	13975	10012	0	0	0	3963	0
random/aggregates/slt_good_47.test	13914	10012	0	0	0	3902	0
random/aggregates/slt_good_48.test	13903	10012	0	0	0	3891	0
random/aggregates/slt_good_49.test	13906	10012	0	0	0	3894	0
random/aggregates/slt_good_5.test	13953	10012	0	0	0	3941	0
random/aggregates/slt_good_50.test	13872	10012	0	0	0	3860	0
random/aggregates/slt_good_51.test	13952	10012	0	0	0	3940	0
random/aggregates/slt_good_52.test	13953	10012	0	0	0	3941	0
random/aggregates/slt_good_53.test	13896	10012	0	0	0	3884	0
random/aggregates/slt_good_54.test	13868	10012	0	0	0	3856	0
random/aggregates/slt_good_55.test	13885	10012	0	0	0	3873	0
random/aggregates/slt_good_56.test	13937	10012	0	0	0	3925	0
random/aggregates/slt_good_57.test	14008	10012	0	0	0	3996	0
random/aggregates/slt_good_58.test	13890	10012	0	0	0	3878	0
random/aggregates/slt_good_59.test	13975	10012	0	0	0	3963	0
random/aggregates/slt_good_6.test	13949	10012	0	0	0	3937	0
random/aggregates/slt_good_60.test	13983	10012	0	0	0	3971	0
random/aggregates/slt_good_61.test	13952	10012	0	0	0	3940	0
